title,rank,anime_type,episode_count,rating,members
Shingeki no Kyojin: The Final Season,1,TV,16,9.16,"766,370"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,2,TV,12,8.64,"340,872"
Yuru Camp△ Season 2,3,TV,13,8.60,"101,386"
Horimiya,4,TV,13,8.59,"378,402"
Holo no Graffiti,5,ONA,0,8.58,"18,167"
Boku no Hero Academia 5th Season,1,TV,0,N/A,"230,327"
Tate no Yuusha no Nariagari Season 2,2,TV,0,N/A,"218,935"
Evangelion: 3.0+1.0 Thrice Upon a Time,3,Movie,1,N/A,"161,709"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season,4,TV,0,N/A,"110,298"
Tate no Yuusha no Nariagari Season 3,5,TV,0,N/A,"108,097"
Death Note,1,TV,37,8.63,"2,595,437"
Shingeki no Kyojin,2,TV,25,8.48,"2,540,940"
Fullmetal Alchemist: Brotherhood,3,TV,64,9.19,"2,247,748"
Sword Art Online,4,TV,25,7.25,"2,221,261"
One Punch Man,5,TV,12,8.57,"2,136,180"
Boku no Hero Academia,6,TV,13,8.10,"1,945,138"
Tokyo Ghoul,7,TV,12,7.81,"1,914,163"
Naruto,8,TV,220,7.91,"1,859,595"
Steins;Gate,9,TV,24,9.11,"1,784,394"
No Game No Life,10,TV,12,8.20,"1,754,434"
