,title,company,location,salary,summary
0,Data Analyst/Data Scientist,The Bridge,London,"£25,000 - £30,000 a year",In this role you will support the company's Data Scientist in identifying talent using your expertise within data analysis.Degree within a numerate subject.
1,Data Scientist,Lewisham Council,London,"£46,536 - £48,576 a year","Job type: Full-time 35 hours.Salary: £46,536 - £48,576 per anum (PO5) pay award pending."
2,NHS Test and Trace - SEO Data Scientist,UK Government - Department of Health and Social Ca...,London,"£36,819 - £45,998 a year",Experience cleaning data for machine learning projects.Data science innovation / Developing data science capability.
3,Data Scientist,Amazon Online UK Limited,London,,4+ years of relevant experience as data scientist.Highly analytical and data-driven: You solve problems in ways that can be backed up with verifiable data.
4,Artificial Intelligence – Data Scientist,Deutsche Bank,London,,"Designing, developing, deploying and managing new functionality of AI Advisor and build data sourcing and integration layer of AI engine."
5,Data Scientist,Data Idols,London,£600 - £850 a day,As a Data Scientist you will work on a variety of interesting data challenges with access to the latest technology.
6,Junior Data Scientist,Novafutur,London,,"Being a data scientist would require the ability to analyse big data sets coming from heterogeneous producers both in real time and offline, as well as to apply…"
7,Data Scientist - NLP - Natural Language Processing - Financi...,Kite Group,London,"£85,000 - £95,000 a year",Data Scientist is required to join a leading Financial Services organisation to work on the applying data science techniques to their front-office compliance…
8,Data Scientist Intern,Samsung Electronics,Staines-upon-Thames,,"Strong python skills for data analytics, familiar with common python packages including numpy, pandas, sk-learn and Keras and/or TensorFlow frameworks."
9,Data Scientist Intern - UK,MOLOCO,London,,Data curation: integrating data from different sources including the first party mobile app data and some third party public data.
10,Global Data Scientist,MediaCom,London,,"Demonstrated experience applying data science methods to real-world data problems.Develop programs that automate data collection, assimilation, aggregation and…"
11,Data Scientist,G-Research,London,,"Demonstrable proficiency in statistical data analysis and data visualisation.You will use your knowledge of data blending, statistical analysis, and machine…"
12,Data Scientist,Deliveroo,London,,"Data scientists at Deliveroo report into our data science management team, and we have a strong, active data science community, with guest lecturers; a robust…"
13,919-LE-35152917-EXT Senior Data Scientist,Public Health England,London SE1,"£36,329 - £42,481 a year","Respond to complex or sensitive data requests.Understand, interpret, write and maintain data manipulation scripts using statistical and software programming…"
