,title,company,location,salary,summary
0,Graduate Program - Associate Data Scientist,RELX Group,London,,"Create data dictionaries, manage complex entity relationships, and assess data quality.Independently run small data exploration and machine learning projects."
1,Data Scientist,NHS Midlands and Lancashire Commissioning Support...,London SE1 6LH,"£24,907 - £30,615 a year",Good knowledge of R. This is essential to manipulate and transform data and perform data science tasks.Having a passion for advancing the use of data and data…
2,Data Scientist,infarm,London WC2N 5DU,,Support other teams to constantly improve our data quality and help deliver high quality data integrated systems.Cloud infrastructure and Cloud ML deployment.
3,Junior Data Scientist,Novafutur,London,,"Being a data scientist would require the ability to analyse big data sets coming from heterogeneous producers both in real time and offline, as well as to apply…"
4,Data Scientist,Lendable,London E1 6JE,,"Research new data sources, advise on costs / benefits of introducing the data into lending decisions.Translate business issues into data issues that facilitate…"
5,Data Scientist,Visa,London,,Mid-level experience solving problems with real-world data.Identify trends in our client work to inform Visa’s data product development path.
6,Data Scientist,Unilever,Kingston upon Thames KT1 2BA,,We are looking for a data scientist who thinks in a clear and organised manner to help us tackle challenging business problems with data and a mathematical…
7,Pricing Data Scientist,Vitality,London EC3V,,"Demonstrable experience working as a pricing analyst or data scientist (or similar).As well as a highly competitive pay package, you’ll enjoy: Free places to…"
8,Data Scientist,Post Office Ltd,London,,Excellent analytical and data interpretation skills.Coach Pricing Analysts on data science techniques.Develop dashboards and data visualisations for various…
9,Data Scientist,Finecast,London,,"Assess the effectiveness of current data sources and data-gathering techniques and improve data collection methods, using APIs and automation."
10,Data Scientist,Vodafone,London,,"Provide deep technical analytical and data expertise to the business and other Data Scientists, using a wide variety of available data, to solve complex…"
11,Data Scientist,NHS England and NHS Improvement,London,"£53,168 - £62,001 a year","It involves working with large national and local NHS and related datasets, manipulating and cleaning data to ensure data quality and integrity for effective…"
12,Principal Data Scientist,Nesta,London,"£46,000 - £57,000 a year","These data scientists will be at the forefront of designing, scoping and delivering data science projects that deliver impact in these areas."
13,Data Scientist,G-Research,London,,"Demonstrable proficiency in statistical data analysis and data visualisation.You will use your knowledge of data blending, statistical analysis, and machine…"
14,Junior Data Scientist Placement,Medialab,London,,Develop automated data processes using Python/R.Ability to organise a variety of large data sets.Strong data manipulation skills and a keen eye for detail.
15,Data Scientist,Deliveroo,London,,"Data scientists at Deliveroo report into our data science management team, and we have a strong, active data science community, with guest lecturers; a robust…"
16,"ALEXANDER MCQUEEN Graduate Trainee, Data Scientist/Engineer",Groupe Kering,London,,"The Graduate Trainee will be working alongside Data Scientists to build data-driven, web-based analytical tools and working on data flow and algorithm…"
17,Higher Statistical Data Scientist - across the GSS,UK Government - Government Statistical Service,London,"£28,996 a year","Knowledge of data processing to support analysis.Access data sources from government systems as well as new material from surveys, social media, and data…"
18,Data Scientist,Global Radio,London,,Knowledge of our main data warehouses and data workflows that we are working with.Passionate about data and knowledge of data visualisation (Tableau experience…
19,Data Scientist - Data Science & AI,Asos.com,London,,Presenting data and insights in new and innovative ways using data visualisation tools and storytelling.Experience accessing and combining data from multiple…
20,Data Scientist,Drax Group,London,,"This will mean using big data and data science, and the rest of your technical data skills and knowledge, to develop and implement appropriate models and…"
21,DATA SCIENTIST,Bangura Solutions,London,,Experience with data analysis and handling sensitive data.Our prestigious clients are currently looking for a proven Data Scientists required to be responsible…
22,Anti-Fraud Bribery and Corruption Data Scientist,Deutsche Bank,London,,"Demonstrated experience in platforms (SAS, R etc) for data mining.Performing proactive risk assessments utilising subject matter expertise, industry trends,…"
23,Data Scientist,Holland & Barrett,London,,You love working closely with data engineers and others in cross-functional teams to develop solutions iteratively.Exploration and ad-hoc preparation.
24,NLP / Natural Language Processing Data Scientist,Expert Employment,London,,"Machine Learning application to NLP / Natural Language Processing problems using NLP to classify English text, learn, process and respond using; Computational…"
25,"Newton, Data Scientist",BNY Mellon,London,,"Providing key input to continued development and research efforts in the area of investment themes, the data scientist will provide analytical expertise and…"
26,Pricing Data Scientist-Private Clients,Munich RE,London,,"Some/moderate experience working as a pricing analyst, data scientist or similar (required).The Pricing Data Scientist will work on innovative pricing…"
27,DATA SCIENTIST - NLP - NATURAL LANGUAGE PROCESSING - FINANCI...,Kite Group,London,"£85,000 - £95,000 a year",Data Scientist is required to join a leading Financial Services organisation to work on the applying data science techniques to their front-office compliance…
28,Data Scientist,Tetra Pak,Windsor,,Solid understanding of data structures and common methods in data transformation.We are embarking on a major transformation to become more data driven and we…
29,Technology Consulting - Data Scientist,EY,London,,"Used a data visualisation technology, like Tableau, Power BI or Qlik.Worked with open source data science libraries and understand how to apply them to various…"
30,Data Scientist - Model Validation,Funding Circle UK,London,,We are looking for a results-driven data scientist to validate the integrity and comprehensiveness of risk models.
31,Data Scientist – Team Lead,SoulTek,London,"£75,000 - £95,000 a year","Job Overview Expiration date: 22nd June 2020 Location: London Job Title: Data Scientist – Team Lead Salary: £75,000 - £95…"
32,Data Scientist - Front Office,Barclays,London E14,,"You will be part of our Investment Banking business, working closely with our Markets revenue generating teams.Proven experience of e-trading development."
33,Data Scientist,EXL,London,,Discussion with the client project managers on business requirement & work with EXL engagement lead to build solutions.
34,Product Data Scientist,Lucid,London,,"The primary areas include but are not limited to trend analyses, data integration, generalization, harmonization, as well as working with different data sources…"
35,SPORTS DATA SCIENTIST,SBTech,London,,Coach and support junior data scientists within the team.Understanding of data science and statistical modelling principles.Bonus based on personal results.
36,Data Scientist,AXA UK,Weybridge KT13 0NY,"£35,000 - £65,000 a year",Contribute to development of current data pipelines.Contribute to the maintenance and deployment of data enrichment repositories.
37,Insights Data Scientist,SoulTek,London,"£45,000 - £60,000 a year","Job Overview Expiration date: 31st July 2020 Location: London Job Title: Insights Data Scientist Salary: £45,000 - £60…"
38,"R Programmer & Data Scientist - Sofia, Bulgaria",IQVIA,London,,Experience in producing data visualisations to communicate analysis results.Develop and document data science methods and algorithms.
39,Data Scientist,Fidel API,London W1F 0TA,,Assess the effectiveness and accuracy of new data sources and data gathering techniques.Present information using data visualization techniques.
40,Data Scientist - London,MOLOCO,London,,Data validation: verifying the first party data we obtain from ad exchange and the third party mobile app tracking solutions so that our campaign models get…
41,Analyst/Junior Data Scientist,Harnham,London,"£40,000 - £45,000 a year",Be responsible for all things data and regularly work with the C-Suite.Desire to tell stories with data and present insights back to board level.
42,Junior Data Scientist - London,Echobox,London,,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…"
